Número Solicitação;Código Cliente;Razão Social;Pontuação;Cód. Bônus;Desc. Bônus;Moeda do Bônus;Data Geração;Data Expiração
C08110001171;170;PHB Eletronica ltda;356;00009;Pontuação Governo e Corporativo - Sudeste;P;04/12/2008;30/05/2021
C08110001171;170;PHB Eletronica ltda;267;00009;Pontuação Governo e Corporativo - Sudeste;P;04/12/2008;30/05/2021
C08110001171;170;PHB Eletronica ltda;445;00009;Pontuação Governo e Corporativo - Sudeste;P;04/12/2008;30/05/2021
C08110001171;170;PHB Eletronica ltda;623;00009;Pontuação Governo e Corporativo - Sudeste;P;04/12/2008;30/05/2021
C08110001171;170;PHB Eletronica ltda;42;00009;Pontuação Governo e Corporativo - Sudeste;P;04/12/2008;30/05/2021
C08110001171;170;PHB Eletronica ltda;58;00009;Pontuação Governo e Corporativo - Sudeste;P;04/12/2008;30/05/2021
C08110001171;170;PHB Eletronica ltda;138;00009;Pontuação Governo e Corporativo - Sudeste;P;04/12/2008;30/05/2021
C08110001171;170;PHB Eletronica ltda;138;00009;Pontuação Governo e Corporativo - Sudeste;P;04/12/2008;30/05/2021
C08110001171;170;PHB Eletronica ltda;138;00009;Pontuação Governo e Corporativo - Sudeste;P;04/12/2008;30/05/2021
C08110001171;170;PHB Eletronica ltda;138;00009;Pontuação Governo e Corporativo - Sudeste;P;04/12/2008;30/05/2021
